seed,condition,training_blocks,p_choose_A,value_A,value_B
1,reward_A,27,0.9776480789330823,0.8947380676505374,0.13909056832189937
1,reward_A,28,0.9784120775550863,0.9031590222384944,0.14039963898939367
1,reward_A,29,0.9790923650244311,0.9109063004594149,0.1416039840034884
1,reward_A,30,0.9796996730148868,0.9180337964226617,0.14271198141645558
1,reward_A,31,0.9802431186627091,0.9245910927088488,0.14373133903638535
1,reward_A,32,0.9807304833525724,0.9306238052921408,0.14466914804672082
1,reward_A,33,0.9811684378058815,0.9361739008687696,0.1455319323362294
1,reward_A,34,0.9815627247513408,0.941279988799268,0.1463256938825772
1,reward_A,35,0.9819183079133921,0.9459775896953265,0.14705595450521747
1,reward_A,36,0.9822394941191048,0.9502993825197005,0.14772779427804628
1,reward_A,37,0.9825300338448826,0.9542754319181244,0.1483458868690487
1,reward_A,38,0.9827932043878291,0.9579333973646744,0.14891453205277105
1,reward_A,39,0.983031878968959,0.9612987255755004,0.1494376856217957
1,reward_A,40,0.9832485843943672,0.9643948275294605,0.14991898690529826
1,reward_B,0,0.5,0.0,0.0
1,reward_B,1,0.4166415398886307,0.012684876748834117,0.07999999999999996
1,reward_B,2,0.3438406871165831,0.02435496335776144,0.15359999999999996
1,reward_B,3,0.28270103694519755,0.03509144303797462,0.22131199999999995
1,reward_B,4,0.23268886051307633,0.044969004343770824,0.2836070399999999
1,reward_B,5,0.19242793428864297,0.05405636074510334,0.34091847679999987
1,reward_B,6,0.16028065506023015,0.06241672863432923,0.3936449986559999
1,reward_B,7,0.1346767518019847,0.07010826709241691,0.4421533987635198
1,reward_B,8,0.11425632415433847,0.07718448247385756,0.48678112686243824
1,reward_B,9,0.09790517971517654,0.08369460062478318,0.5278386367134432
1,reward_B,10,0.08473862337084286,0.08968390932363457,0.5656115457763676
1,reward_B,11,0.07406624869099596,0.09519407332657792,0.6003626221142582
1,reward_B,12,0.06535389372940083,0.1002634242092858,0.6323336123451175
1,reward_B,13,0.05818953720283654,0.10492722702137713,0.6617469233575082
1,reward_B,14,0.05225518221454748,0.10921792560850108,0.6888071694889075
1,reward_B,15,0.04730466984730564,0.11316536830865498,0.7137025959297949
1,reward_B,16,0.04314658802072375,0.11679701559279676,0.7366063882554112
1,reward_B,17,0.03963127459942076,0.12013813109420701,0.7576778771949784
1,reward_B,18,0.03664099489417879,0.12321195735550461,0.7770636470193801
1,reward_B,19,0.03408253232999777,0.1260398775158985,0.7948985552578297
1,reward_B,20,0.031881594416779326,0.1286415640634606,0.8113066708372033
1,reward_B,21,0.029978577664015602,0.13103511568721782,0.826402137170227
1,reward_B,22,0.028325348560968813,0.1332371831810747,0.8402899661966089
1,reward_B,23,0.026882785144144203,0.13526308527542286,0.8530667689008802
1,reward_B,24,0.02561888948933354,0.1371269152022232,0.8648214273888097
1,reward_B,25,0.024507330409948402,0.1388416387348793,0.875635713197705
1,reward_B,26,0.02352631180663989,0.14041918438492307,0.8855848561418885
1,reward_B,27,0.022657688763444876,0.14187052638296338,0.8947380676505374
1,reward_B,28,0.021886273124540178,0.14320576102116034,0.9031590222384944
1,reward_B,29,0.021199284782227344,0.14443417688830162,0.9109063004594149
1,reward_B,30,0.020585915638324445,0.14556431948607162,0.9180337964226617
1,reward_B,31,0.020036981174928057,0.14660405067602011,0.9245910927088488
1,reward_B,32,0.019544640520436623,0.1475606033707726,0.9306238052921408
1,reward_B,33,0.019102170357039493,0.14844063184994483,0.9361739008687696
1,reward_B,34,0.018703781375792882,0.1492502580507833,0.941279988799268
1,reward_B,35,0.01834446852908238,0.1499951141555549,0.9459775896953265
1,reward_B,36,0.01801988826578527,0.15068038177194454,0.9502993825197005
1,reward_B,37,0.01772625741470186,0.15131082797902318,0.9542754319181244
1,reward_B,38,0.017460269519644387,0.15189083848953533,0.9579333973646744
1,reward_B,39,0.017219025308561838,0.15242444815920664,0.9612987255755004
1,reward_B,40,0.016999974661466296,0.15291536905530423,0.9643948275294605
1,no_reward,0,0.5,0.0,0.0
1,no_reward,1,0.5,0.0,0.0
1,no_reward,2,0.5,0.0,0.0
1,no_reward,3,0.5,0.0,0.0
1,no_reward,4,0.5,0.0,0.0
1,no_reward,5,0.5,0.0,0.0
1,no_reward,6,0.5,0.0,0.0
1,no_reward,7,0.5,0.0,0.0
1,no_reward,8,0.5,0.0,0.0
1,no_reward,9,0.5,0.0,0.0
1,no_reward,10,0.5,0.0,0.0
1,no_reward,11,0.5,0.0,0.0
1,no_reward,12,0.5,0.0,0.0
1,no_reward,13,0.5,0.0,0.0
1,no_reward,14,0.5,0.0,0.0
1,no_reward,15,0.5,0.0,0.0
1,no_reward,16,0.5,0.0,0.0
1,no_reward,17,0.5,0.0,0.0
1,no_reward,18,0.5,0.0,0.0
1,no_reward,19,0.5,0.0,0.0
1,no_reward,20,0.5,0.0,0.0
1,no_reward,21,0.5,0.0,0.0
1,no_reward,22,0.5,0.0,0.0
