bodyId,type,instance,class,somaSide
80832,KCa'b'-ap1,KCa'b'-ap1_R,Kenyon_Cell,R
80905,KCg-d,KCg-d_L,Kenyon_Cell,L
80918,KCab-c,KCab-c_L,Kenyon_Cell,L
80924,KCg-d,KCg-d_L,Kenyon_Cell,L
80970,KCg-m,KCg-m_L,Kenyon_Cell,L
80978,KCab-m,KCab-m_R,Kenyon_Cell,R
81000,KCg-m,KCg-m_R,Kenyon_Cell,R
81001,KCg-m,KCg-m_L,Kenyon_Cell,L
81004,KCg-m,KCg-m_R,Kenyon_Cell,R
81005,KCg-m,KCg-m_R,Kenyon_Cell,R
81049,KCab-p,KCab-p_R,Kenyon_Cell,R
81053,KCab-m,KCab-m_R,Kenyon_Cell,R
81056,KCg-d,KCg-d_R,Kenyon_Cell,R
81093,KCg-m,KCg-m_L,Kenyon_Cell,L
81095,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
81129,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
81141,KCab-s,KCab-s_R,Kenyon_Cell,R
81143,KCg-m,KCg-m_L,Kenyon_Cell,L
81177,KCg-d,KCg-d_R,Kenyon_Cell,R
81187,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
81197,KCab-m,KCab-m_R,Kenyon_Cell,R
81202,KCab-s,KCab-s_R,Kenyon_Cell,R
81203,KCab-p,KCab-p_R,Kenyon_Cell,R
81207,KCab-s,KCab-s_R,Kenyon_Cell,R
81233,KCg-m,KCg-m_R,Kenyon_Cell,R
81239,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
81251,KCg-m,KCg-m_L,Kenyon_Cell,L
81273,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
81278,KCab-c,KCab-c_L,Kenyon_Cell,L
81338,KCg-m,KCg-m_L,Kenyon_Cell,L
81348,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
81349,KCg-m,KCg-m_L,Kenyon_Cell,L
81369,KCg-m,KCg-m_L,Kenyon_Cell,L
81374,KCg-m,KCg-m_L,Kenyon_Cell,L
81377,KCab-m,KCab-m_R,Kenyon_Cell,R
81385,KCg-m,KCg-m_L,Kenyon_Cell,L
81427,KCg-m,KCg-m_R,Kenyon_Cell,R
81453,KCab-c,KCab-c_R,Kenyon_Cell,R
81492,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
81502,KCg-m,KCg-m_L,Kenyon_Cell,L
81506,KCg-m,KCg-m_R,Kenyon_Cell,R
81563,KCg-m,KCg-m_R,Kenyon_Cell,R
81577,KCg-d,KCg-d_L,Kenyon_Cell,L
